timestamp,serial_line
2026-05-16 15:42:08.185,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.196,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.205,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.215,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.226,ADC pin 15 raw = 2383  voltage = 1.920 V  angle = 189.7 deg
2026-05-16 15:42:08.235,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.246,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.255,ADC pin 15 raw = 2389  voltage = 1.925 V  angle = 190.3 deg
2026-05-16 15:42:08.265,ADC pin 15 raw = 2385  voltage = 1.922 V  angle = 189.9 deg
2026-05-16 15:42:08.275,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.286,ADC pin 15 raw = 2383  voltage = 1.920 V  angle = 189.7 deg
2026-05-16 15:42:08.295,ADC pin 15 raw = 2384  voltage = 1.921 V  angle = 189.8 deg
2026-05-16 15:42:08.305,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.315,ADC pin 15 raw = 2385  voltage = 1.922 V  angle = 189.9 deg
2026-05-16 15:42:08.330,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.335,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.346,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.355,ADC pin 15 raw = 2385  voltage = 1.922 V  angle = 189.9 deg
2026-05-16 15:42:08.365,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.375,ADC pin 15 raw = 2383  voltage = 1.920 V  angle = 189.7 deg
2026-05-16 15:42:08.385,ADC pin 15 raw = 2385  voltage = 1.922 V  angle = 189.9 deg
2026-05-16 15:42:08.395,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.405,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.418,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.425,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.435,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.445,ADC pin 15 raw = 2389  voltage = 1.925 V  angle = 190.3 deg
2026-05-16 15:42:08.455,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.465,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.476,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.485,ADC pin 15 raw = 2385  voltage = 1.922 V  angle = 189.9 deg
2026-05-16 15:42:08.495,ADC pin 15 raw = 2384  voltage = 1.921 V  angle = 189.8 deg
2026-05-16 15:42:08.505,ADC pin 15 raw = 2383  voltage = 1.920 V  angle = 189.7 deg
2026-05-16 15:42:08.515,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.525,ADC pin 15 raw = 2383  voltage = 1.920 V  angle = 189.7 deg
2026-05-16 15:42:08.536,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.545,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.555,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.565,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.575,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.585,ADC pin 15 raw = 2383  voltage = 1.920 V  angle = 189.7 deg
2026-05-16 15:42:08.595,ADC pin 15 raw = 2385  voltage = 1.922 V  angle = 189.9 deg
2026-05-16 15:42:08.605,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.619,ADC pin 15 raw = 2385  voltage = 1.922 V  angle = 189.9 deg
2026-05-16 15:42:08.625,ADC pin 15 raw = 2383  voltage = 1.920 V  angle = 189.7 deg
2026-05-16 15:42:08.635,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.645,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.656,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.668,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.675,ADC pin 15 raw = 2390  voltage = 1.926 V  angle = 190.4 deg
2026-05-16 15:42:08.685,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.695,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.705,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.719,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.725,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.736,ADC pin 15 raw = 2385  voltage = 1.922 V  angle = 189.9 deg
2026-05-16 15:42:08.745,ADC pin 15 raw = 2383  voltage = 1.920 V  angle = 189.7 deg
2026-05-16 15:42:08.755,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.765,ADC pin 15 raw = 2384  voltage = 1.921 V  angle = 189.8 deg
2026-05-16 15:42:08.775,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.785,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.795,ADC pin 15 raw = 2385  voltage = 1.922 V  angle = 189.9 deg
2026-05-16 15:42:08.805,ADC pin 15 raw = 2383  voltage = 1.920 V  angle = 189.7 deg
2026-05-16 15:42:08.815,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.825,ADC pin 15 raw = 2383  voltage = 1.920 V  angle = 189.7 deg
2026-05-16 15:42:08.835,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.845,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.867,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.869,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.887,ADC pin 15 raw = 2389  voltage = 1.925 V  angle = 190.3 deg
2026-05-16 15:42:08.887,ADC pin 15 raw = 2384  voltage = 1.921 V  angle = 189.8 deg
2026-05-16 15:42:08.897,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.905,ADC pin 15 raw = 2384  voltage = 1.921 V  angle = 189.8 deg
2026-05-16 15:42:08.915,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.925,ADC pin 15 raw = 2389  voltage = 1.925 V  angle = 190.3 deg
2026-05-16 15:42:08.935,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:08.945,ADC pin 15 raw = 2386  voltage = 1.923 V  angle = 190.0 deg
2026-05-16 15:42:08.955,ADC pin 15 raw = 2385  voltage = 1.922 V  angle = 189.9 deg
